,Tokens
187,replenish
188,7.948
189,amax
190,schneider
191,"4,350,000"
192,cz
193,march-may
194,ceo
195,biscuit
196,pso
197,sherman
198,shoney
199,countri
200,lay-up
201,sandoz
202,479.7
203,mandela
204,"75,900"
205,flat
206,crtyz
207,al-rai
208,transmiss
209,tasmania
210,31.60
211,scientist
212,school
213,contagi
214,"14,560"
215,bellwood
216,78.6
217,78.45
218,heighten
219,rotari
220,"936,000"
221,kampala
222,"120,228"
223,74.86
224,"1,483,886"
225,"1,979,750"
226,s.africa
227,31.58
228,kill
229,hemispher
230,''
231,wstna
232,non-offici
233,tanzania-zambia
234,foresaw
235,trave
236,arteri
237,malaga
238,monro
239,"609,831"
240,judiciari
241,"145,216"
242,carcas
243,ign
244,penalis
245,rie
246,confectionari
247,ncw
248,ruchlam
249,53.75
250,draukraftwerk
251,885.2
252,mcalpin
253,windfal
254,"171,600"
255,"394,000"
256,6.86
257,save
258,313
259,1.888
260,fbo
261,72.5
262,marcxh
263,euro-arab
264,893.7
265,suitabl
266,disclos
267,nant
268,fadhil
269,tol
270,1937
271,gldf.j
272,"1,116.50"
273,two-pag
274,"83,916"
275,fauber
276,399.8
277,5.97
278,"24,735"
279,non-electr
280,wroblewski
281,356
282,mitsuru
283,coordin
284,43.6
285,184.4
286,oliv
287,hsid.l
288,170-kg
289,"227,500"
290,geismar
291,macandrew
292,nbsc
293,lesco
294,team
295,100
296,did
297,delet
298,recov
299,flag-bear
300,franco
301,opffer
302,pierc
303,chamber
304,tarof
305,bottleneck
306,laundri
307,23
308,salutari
309,analyst
310,2.82
311,tentonian
312,2.65
313,cash
314,850
315,12-5
316,roderick
317,abidjan-bas
318,uncontrol
319,robusta
320,publiqu
321,long-
322,0.3
323,vent
324,solut
325,55.68
326,cyclon
327,nea
328,civil
329,batesvil
330,goc
331,cvg
332,subvers
333,marvin
334,5.05
335,oman
336,269.4
337,68.3
338,schill
339,365
340,mechan
341,"22,345,718"
342,depres
343,591.0
344,"337,867"
345,scotian
346,brokerag
347,sylmar
348,below-norm
349,share-for-shar
350,"99,000"
351,"1,511"
352,5.64
353,u.n
354,117.44
355,"34,224"
356,broader
357,2007
358,0.275
359,carpet
360,bahrain-bas
361,kentucki
362,"949,650"
363,17.71
364,geographi
365,0.92
366,boot
367,10.85
368,"1,730,000"
369,ingn
370,lser
371,bankshar
372,15.4
373,modif
374,bahia
375,htp
376,9-13
377,25-decemb
378,strohmaier
379,cutter
380,"1,512,534"
381,"1,830,000"
382,-14.2
383,2.38
384,rome-milan-lo
385,somebodi
386,flaxse
387,hammer
388,forefront
389,"87,449"
390,"9,478,000"
391,bottl
392,35.3
393,ltd.
394,"38,290"
395,herold
396,corel
397,elmer
398,inadequ
399,"1,232"
400,79.4
401,blasiu
402,43-3
403,denonin
404,malaya
405,inabl
406,underwrot
407,digigraph
408,2.81
409,'target
410,galeota
411,cloudi
412,multi-later
413,lyng
414,cti
415,antibiot
416,loh
417,"1,292,000"
418,shorter-d
419,"175,866"
420,"463,473"
421,attrit
422,your
423,terrenc
424,110
425,ovest
426,fernandez
427,101.00
428,8.32
429,hnt
430,bard
431,382
432,"10,228,600"
433,vak
434,unproduct
435,shimbun
436,16.72
437,obci
438,alfredo
439,kombo
440,6.92
441,32.42
442,384
443,jwt
444,22.1
445,jemr
446,"54,200"
447,u.k.
448,cormier
449,reiseforsikr
450,12-7
451,friedkin
452,"1,000"
453,boomerang
454,"1,420,500"
455,woolwich
456,9.20
457,17.857
458,uneasi
459,"532,376"
460,norex
461,76.9
462,indi
463,nonrecours
464,speak
465,cuurent
466,longshot
467,"602,766"
468,251.1
469,elmano
470,16.06
471,baker-hugh
472,raision
473,29.93
474,rapid-american
475,hediard
476,hdpe
477,"6,332,471"
478,one-to-two
479,95.8
480,irri.mi
481,masaharu
482,yoweri
483,attilio
484,euro-certif
485,unconvert
486,"289,400"
487,ma.
488,630
489,8th
490,foreign-own
491,will
492,"251,100"
493,"94,100"
494,"141,224"
495,2.37
496,stark
497,inspir
498,devon
499,45.6
500,vti
501,"9,498,000"
502,florenc
503,accompani
504,"1,820"
505,"727,432"
506,worm
507,inaccess
508,guarante
509,intel
510,bunker
511,"1,451"
512,"812,000"
513,zair
514,499
515,budapest
516,perelman
517,armstrong
518,flank
519,handels-
520,unemploy
521,moyana
522,7.87
523,legisl
524,"9,562,000"
525,71-1
526,33.94
527,quota
528,bavaria
529,never
530,mid-level
531,sek
532,dismay
533,sarlo
534,petrosur
535,brake
536,ocbm.si
537,hambro
538,semiconductor-bas
539,control
540,reveal
541,"2,336,000"
542,intn.a
543,"5,873,904"
544,lease
545,"136,598"
546,78.84
547,nmc
548,eib
549,bludgeon
550,bush
551,"20,349"
552,toromont
553,kinzoku
554,mich.-bas
555,"685,000"
556,on-go
557,member
558,"3,350,000"
559,cardizem
560,emcf
561,1p
562,admiss
563,scandinavian
564,planner
565,safeco
566,202.8
567,qant
568,320.0
569,119.5
570,technicon
571,sthf
572,"1,333"
573,1.07
574,minut
575,eiu
576,thurman
577,"1,340"
578,dunham
579,street
580,patten
581,dramatis
582,hgic
583,gramley
584,maciel
585,matheson
586,d'epargn
587,italiana
588,897.1
589,spokesmen
590,vice-director
591,jeffrey
592,cincinnati
593,marckraq
594,cool
595,place
596,"2,142,118"
597,attractive-boschwitz
598,3.48
599,contruct
600,middleburg
601,abandon
602,14.35
603,"23,085"
604,119.05
605,obstacl
606,arrayan
607,three-year-old
608,93.75
609,koba
610,402
611,saudi
612,cannon
613,"2,097,000"
614,644
615,we
616,moomba
617,275-295
618,"46,000"
619,r-nebr
620,roebuck
621,"262,000"
622,pre-elect
623,economicli
624,chlorin
625,27.22
626,traffic
627,"2,112"
628,medium-pr
629,"331,666"
630,stall
631,brampton
632,preserv
633,"2,566,000"
634,sarlen
635,re-nam
636,wenzhou
637,bracket
638,1986-1990
639,24-26
640,ksu
641,302p
642,"1,298,257"
643,indeped
644,+9.8
645,j.m
646,15-juli
647,rag
648,hyperinfl
649,dunn
650,ey
651,"423,659"
652,"5,762,000"
653,712p
654,greec
655,199.4
656,"10,800"
657,"5,387"
658,vs.
659,"220,724"
660,tata
661,suscept
662,oeprat
663,"9,414,000"
664,104.1
665,wnac-tv
666,usdc
667,"619,860"
668,assassin
669,bicc
670,305.7
671,eastward
672,healthier
673,harvest
674,"236,836"
675,karasmasoglu
676,"1,047,000"
677,qustion
678,perkin
679,"600,000"
680,"205,000"
681,market-
682,5.44
683,oversea
684,patholog
685,specul
686,respres
687,swann
688,"14,486"
689,149.2
690,beer
691,word
692,coconut
693,"3,863,000"
694,gdp
695,16.02
696,begun
697,irv
698,"4,700"
699,interesdt
700,ruger
701,symbol
702,volatili
703,cheval
704,storag
705,62.6
706,addressograph
707,"1,112,000"
708,approv
709,ouray
710,tenur
711,compar
712,pcg
713,orderli
714,high-strength
715,thinh
716,blds.st
717,25.08
718,continent
719,pre-compromis
720,pipeston
721,"23,954"
722,"8,745,132"
723,stop
724,succeed
725,acknowledg
726,quix
727,sigr
728,88.9
729,halvorsen
730,"1,465,926"
731,"20,700"
732,african
733,nsug.f
734,wirsbo
735,36.0p
736,steril
737,1.208
738,ec-u.s.
739,tenni
740,pre-merg
741,l.m
742,hoenemey
743,100.25
744,strict
745,insul
746,"6,162,000"
747,9-7
748,oppos
749,near
750,permiss
751,531.29
752,riverhead
753,first-day
754,washington-bas
755,66.2
756,241.2
757,d-calif.
758,rafael
759,"1,913,000"
760,ecoa
761,"1,045.3"
762,mid-
763,spurt
764,inter-union
765,kinross
766,newly-establish
767,"2,138,000"
768,35.12
769,129.75
770,85.4
771,comod
772,higher-than-
773,cthl
774,"2,538,030"
775,prearrang
776,105-15
777,29.5
778,"255,000"
779,"8,441,000"
780,96.93
781,solter
782,eight-mln-dlr
783,"35,910"
784,ucu
785,itto
786,"2,429.83"
787,construct
788,o.m
789,governmnet
790,deserv
791,"764,000"
792,half-submerg
793,"12,750,000"
794,infrastuctur
795,"4,369"
796,germanium
797,plc.the
798,moengo
799,"5,846,962"
800,1.6050
801,"68,691"
802,high-pressur
803,957
804,tigrel
805,porl.l
806,txn
807,fao
808,enterpris
809,golden
810,105.29
811,"59,396"
812,teleglob
813,suratanakaweekul
814,x
815,inter-rel
816,"133,505"
817,101.50
818,csbk
819,906.7
820,restiv
821,370.4
822,rdgc
823,"4,885,000"
824,"65,501"
825,"2,649,003"
826,gandf
827,avi
828,sincer
829,"2,709,600"
830,conclus
831,wilson
832,confidata
833,"4,027,852"
834,1.884
835,mi
836,pitt-d
837,31
838,port-au-princ
839,1954
840,passport
841,7.50-7.25
842,saffron
843,two-prong
844,0.500
845,icg
846,about
847,"4,784,000"
848,85.3p
849,brookfield
850,1.36
851,mawr
852,"3,805"
853,786
854,custer
855,chattanooga
856,50-mln-share
857,seven-memb
858,"5,019,000"
859,asa
860,119
861,48.67
862,km
863,messidor
864,michigan-bas
865,60.1
866,3.72
867,"3,203,000"
868,oi
869,246
870,38.4
871,377
872,887
873,coffee-grow
874,markup
875,rrt
876,9.46
877,d-minn.
878,cashin
879,563.1
880,fatti
881,2.60
882,idd
883,wedbush
884,11.6
885,aerostructur
886,shg
887,xon.n
888,0.06
889,csc
890,31.30
891,167.9
892,copmlet
893,radioact
894,indqa
895,fibron
896,sama
897,162.8
898,sogecr
899,"196,873"
900,pemberton
901,"75,530"
902,"2,617,090"
903,aynalem
904,gaug
905,braniff
906,inequ
907,disease-resist
908,4.91
909,prepay
910,tuna
911,beat
912,794.3
913,tmc
914,distil
915,three-for
916,120.4
917,minoru
918,gosagroprom
919,guaxup
920,polyethylen
921,dislos
922,moor
923,23.5
924,al.
925,2.25
926,corrient
927,sugarman
928,memori
929,fpc
930,select
931,"612,000"
932,"2,840"
933,"1,706,601"
934,"1,133,000"
935,myhren
936,cox
937,annualis
938,soundli
939,dent
940,vlissingen
941,girardin
942,balance-of-pay
943,6.2
944,silverton
945,wear
946,opc
947,425
948,66.0
949,lebec
950,offshore-bas
951,"131,300"
952,infect
953,"4,351"
954,579
955,"543,000"
956,lpl
957,"595,000"
958,"829,737"
959,rudi
960,"37,600"
961,kado
962,urgent
963,298
964,beeba
965,171.05
966,wendt
967,"22,840"
968,cazal
969,"5,744,588"
970,25.3
971,peopl
972,"86,216"
973,54.3
974,eagl
975,"1,400"
976,bol
977,"2,925,000"
978,baybank
979,beih
980,venezulean
981,aurora
982,ffbv
983,"562,000"
984,jeopardi
985,dian
986,non-round
987,january-februari
988,downsiz
989,convinc
990,"101,020"
991,maximis
992,oki
993,anti-canc
994,dougla
995,escort
996,cheltenham
997,byu
998,ms
999,cummin
1000,12.6
1001,ferranti
1002,scti
1003,zealand
1004,daili
1005,"2,540,000"
1006,51.68
1007,roldan
1008,campech
1009,week-end
1010,austrian
1011,nor
1012,bash
1013,newly-instal
1014,bieszk
1015,vetx
1016,"60,840"
1017,dp-7
1018,shuffl
1019,quaker
1020,lme
1021,hawaiian
1022,1930
1023,orchestr
1024,austria
1025,bachelor
1026,741
1027,gather
1028,cia-dia
1029,food
1030,bois
1031,berth-siz
1032,la.
1033,convert
1034,wire
1035,2.957
1036,offset
1037,"2,176,000"
1038,64.8
1039,58.4
1040,3.76
1041,societa
1042,12-member
1043,mistaken
1044,morn
1045,924
1046,mair
1047,12.670
1048,"3,811,200"
1049,mfgi
1050,gsm-103
1051,30.64
1052,chanc
1053,uh
1054,9.5261
1055,eshleman
1056,artra
1057,jungl
1058,junior
1059,"192,710"
1060,pneumat
1061,30
1062,del-val
1063,fortnight
1064,sympath
1065,160.2-mile
1066,commer
1067,"598,550"
1068,"565,000"
1069,materialis
1070,5.87
1071,113.5
1072,68.5
1073,429.9
1074,9.95
1075,large-scal
1076,"3,568"
1077,catchup
1078,nesz.z
1079,"1,379,453"
1080,unrepres
1081,commeric
1082,ragip
1083,seafirst
1084,lethal
1085,"12,267,000"
1086,estenssoro
1087,313p
1088,9.11
1089,152.31
1090,iranian
1091,futil
1092,cmb
1093,"177,061"
1094,afflict
1095,"2,092,000"
1096,"29,372"
1097,swk
1098,443
1099,screen
1100,annouc
1101,steeper
1102,swing
1103,realiz
1104,andrea
1105,calend
1106,"93,100"
1107,processi
1108,"1,780,000"
1109,harshest
1110,51.4p
1111,7.73
1112,infer
1113,extort
1114,oldr
1115,french
1116,fpl
1117,tamura
1118,umar.l
1119,unneed
1120,fsa
1121,distant
1122,"1,980,432"
1123,97.04
1124,shultz
1125,harbin
1126,mits.t
1127,sergeyev
1128,barcelo
1129,"83,200"
1130,weisfield
1131,5.31
1132,novel
1133,unlikey
1134,4.10
1135,cancel
1136,eight-year-old
1137,21.32
1138,anatolian
1139,phase
1140,sb
1141,"30,145"
1142,havew
1143,patient-readi
1144,strike-hit
1145,"7,365,000"
1146,"1,113,000"
1147,"4,672"
1148,"3,086,386"
1149,roberto
1150,parini
1151,ckl
1152,mateo
1153,cypriot
1154,20.46
1155,222p
1156,318.3
1157,confound
1158,long-delay
1159,undecid
1160,670p
1161,rfit
1162,bijan
1163,valid
1164,kuala
1165,propuc
1166,neco
1167,13.90
1168,unroast
1169,fengbang
1170,kr
1171,two-and-a-half
1172,bordua
1173,1914
1174,non-report
1175,"1,295,187"
1176,"390,000"
1177,joaquin
1178,44.6
1179,culp
1180,niobium
1181,1.244
1182,17.14
1183,115
1184,abraham
1185,butyl
1186,transduc
1187,senat
1188,45.72p
1189,renault
1190,futjitsu
1191,margosh
1192,16-inch
1193,42.56
1194,pimari
1195,unpaid
1196,8.64
1197,brandstrom
1198,atlanta-bas
1199,rich
1200,kyushu
1201,32.2
1202,hermet
1203,132.90
1204,40.05
1205,24-1
1206,crusher
1207,944-mln
1208,palladium
1209,"2,939,619"
1210,fellow
1211,9-septemb
1212,commensur
1213,bohn
1214,oec
1215,seafar
1216,gca
1217,novelti
1218,22.50
1219,121.5
1220,"459,100"
1221,shock
1222,3.05
1223,veri
1224,formerli
1225,18.75
1226,pertain
1227,"5,877,000"
1228,cff
1229,all-destin
1230,dirsrupt
1231,colback
1232,red
1233,rbd
1234,"365,000"
1235,merck
1236,md.
1237,289
1238,107.61
1239,peabodi
1240,non-manufactur
1241,claimant
1242,ryan
1243,tinto-zinc
1244,case-by-cas
1245,millicorp
1246,credibilti
1247,nesbitt
1248,95.0
1249,"798,000"
1250,73.32
1251,synergi
1252,issuer-set
1253,necessari
1254,"3,160,000"
1255,150.6
1256,5.98
1257,ech
1258,"563,000"
1259,jordan
1260,petrochem
1261,manaspa
1262,hourly-r
1263,belvieu
1264,minguzzi
1265,azpurua
1266,"266,389"
1267,junk
1268,soft
1269,everth
1270,56.7
1271,staubli
1272,"268,038"
1273,dimens
1274,giro
1275,15.54
1276,camillo
1277,964
1278,"1,321,000"
1279,jean-baptist
1280,43.9
1281,citt.t
1282,progress
1283,advoc
1284,tragic
1285,labatt
1286,corpor
1287,moder
1288,exceed
1289,issucn
1290,almost
1291,35.4
1292,unbudget
1293,innovex
1294,75.
1295,anti-takeov
1296,"213,000"
1297,7.25
1298,66
1299,373.3-r
1300,garden
1301,downtrend
1302,tertiari
1303,dioxide-remov
1304,ead
1305,rha
1306,25.24
1307,adversari
1308,francico
1309,bausch
1310,5000
1311,imec
1312,eurostat
1313,bfg
1314,twelv
1315,lead-acid
1316,appearnac
1317,lokken
1318,delimit
1319,"1,073"
1320,432.75
1321,11-day
1322,aipn
1323,"65,100"
1324,d-mont
1325,2.10
1326,sale-purchas
1327,"8,705,000"
1328,cdfc
1329,"70,389"
1330,socialist
1331,jacob
1332,"8,680,000"
1333,tsri
1334,mcandrew
1335,810
1336,789
1337,axworthi
1338,azzam
1339,introduc
1340,multibank
1341,107.25
1342,stuff
1343,"1,940.7"
1344,temporao
1345,thirdli
1346,8.86
1347,trentonian
1348,becomlet
1349,9.63
1350,cellar
1351,tandard
1352,"5,306"
1353,collect
1354,recommend
1355,page
1356,boston
1357,3.21
1358,ctw
1359,hoover
1360,sight
1361,pour
1362,listen
1363,upcom
1364,"1,017,000"
1365,2.78
1366,1974
1367,sbn
1368,1.8
1369,912
1370,pancontinent
1371,sparkassen
1372,160.3
1373,10-1
1374,westphalia
1375,lipper
1376,46.2
1377,gale
1378,groep
1379,refco
1380,wide-rang
1381,"34,102"
1382,harveste
1383,chargeoff
1384,versatil
1385,86.7
1386,"1,650"
1387,16.60
1388,"144,890,000"
1389,mid-januari
1390,hex
1391,"729,500"
1392,59.9
1393,28-day
1394,governmemnt
1395,675
1396,assoc
1397,invoic
1398,11.0
1399,"1,035.1"
1400,fen
1401,594
1402,"3,295,000"
1403,"109,244,315"
1404,fenton
1405,outset
1406,electrotechn
1407,54.47
1408,chanel
1409,corpu
1410,31.2
1411,"1,427"
1412,hartford
1413,obligatori
1414,"6,576,670"
1415,ch
1416,2.59
1417,o.2
1418,"666,319"
1419,23.6-r
1420,intercon
1421,30.375
1422,6-3
1423,oversight
1424,6.05
1425,"19,000-plu"
1426,rockwel
1427,"59,800"
1428,"418,755"
1429,punt
1430,times-herald
1431,cowan
1432,okla
1433,beleagur
1434,adnan
1435,litr
1436,orthodox
1437,"4,800,840"
1438,pnta
1439,arizona
1440,jaim
1441,137
1442,"5,792,000"
1443,lm
1444,"3,038,361"
1445,once-off
1446,milan
1447,approvc
1448,iclb
1449,decor
1450,goaqc
1451,"3,282,478"
1452,canada-u.s.
1453,"105,000"
1454,multi-million-dollar
1455,7-8
1456,jawbon
1457,486.4
1458,"1,350,000"
1459,152
1460,fhl
1461,4.94
1462,earliest
1463,pbx
1464,shepard
1465,d-n.y.
1466,remov
1467,astral
1468,negot
1469,euro-pap
1470,swing-lin
1471,cax
1472,gao
1473,nhci
1474,reph
1475,ultra-liber
1476,32-day
1477,l63
1478,"175,000"
1479,investig
1480,5.89
1481,114.3
1482,66.50
1483,navon
1484,"2,118,000"
1485,152.53
1486,durango
1487,unquestion
1488,wilkinson
1489,"20,096"
1490,"107,773"
1491,"896,718"
1492,survey
1493,bias
1494,bieber
1495,15.66
1496,9.275
1497,"175,691"
1498,msti
1499,costli
1500,redeempt
1501,secretli
1502,heavili
1503,unisi
1504,299.2
1505,72.39
1506,"1,279"
1507,cemetari
1508,"22,120"
1509,m3
1510,k.
1511,"17,156"
1512,3.2
1513,"1,833,766"
1514,siglo
1515,122.9
1516,1968
1517,"162,300"
1518,"2,610,000"
1519,9.65
1520,dialogu
1521,"1,978,900"
1522,kenya
1523,follow-up
1524,"472,900"
1525,benedetti
1526,"43,295"
1527,"2,194,242"
1528,timah
1529,agcni
1530,steward
1531,boyd
1532,agengi
1533,may-septemb
1534,kmg
1535,narrowly-defin
1536,"1,220,000"
1537,15.01
1538,goodmark
1539,card
1540,brace
1541,romek
1542,high-fructos
1543,"362,700"
1544,"128,015"
1545,concesss
1546,odeon
1547,"474,879"
1548,9th
1549,febrauri
1550,mln-dlr
1551,aclv
1552,counter-propos
1553,ukrain
1554,-8.7
1555,strong-arm
1556,"77,120"
1557,10.67
1558,damp
1559,18.25
1560,"3,425,400"
1561,"365,897"
1562,revnu
1563,land
1564,psi
1565,"7,123,000"
1566,dsec.t
1567,"2,991,000"
1568,jc
1569,sbc
1570,autospa
1571,melnikov
1572,wcar
1573,cph
1574,9.5195
1575,rject
1576,greyvest
1577,steel
1578,australia
1579,"1,796,121"
1580,yukio
1581,116.49
1582,seventeen
1583,praecipuum
1584,stock
1585,"10,133"
1586,bloomington
1587,poland
1588,agri
1589,resum
1590,97.0
1591,"29,043"
1592,1.81
1593,vintner
1594,quinn
1595,"15,596"
1596,fraternit
1597,wareh
1598,gru
1599,arithmet
1600,crn
1601,44.5
1602,bunzl
1603,331.6
1604,91.50
1605,albertan
1606,vernitron
1607,ficorca
1608,nni
1609,51.875
1610,haber
1611,quebec
1612,382.3
1613,insterest
1614,viatech
1615,91.8
1616,reckon
1617,frms.st
1618,unlaw
1619,cfr
1620,chou-wiest
1621,seaforth
1622,"301,909"
1623,fc
1624,modulair
1625,20.68
1626,glatfelt
1627,oversold
1628,moir
1629,earlier-propos
1630,unoffici
1631,"1,478,000"
1632,sunnyval
1633,40.4
1634,villier
1635,teh
1636,ludlum
1637,455.2
1638,someway
1639,753.8
1640,bounti
1641,metropolitan
1642,noncash
1643,placement
1644,ttx
1645,maciej
1646,lk
1647,lloyd
1648,august-septemb
1649,seedb
1650,sug
1651,auction
1652,sunstat
1653,"39,714"
1654,66.06
1655,faction
1656,andersen
1657,howard
1658,elector
1659,slumber
1660,lnsb
1661,contrari
1662,mediq
1663,granddaught
1664,cylcop
1665,preparatori
1666,5-15
1667,165
1668,volcano
1669,"164,000"
1670,nt
1671,schaumburg
1672,580.37
1673,9.73
1674,magellan
1675,unleash
1676,bno.to
1677,cheshir
1678,nev.
1679,17.257
1680,"588,000"
1681,"2,662,000"
1682,"8,793,000"
1683,zorinski
1684,1.466
1685,hardwood
1686,10.50
1687,tilburi
1688,shelbi
1689,"968,000"
1690,"163,200"
1691,persian
1692,rex
1693,receipt
1694,196.4
1695,cstk
1696,"6,974,554"
1697,'sugarcan
1698,18.44
1699,5.63
1700,cytr
1701,632.5
1702,245
1703,cfbi
1704,640
1705,10.80
1706,'we
1707,hearst
1708,anatolia
1709,146.6
1710,of
1711,trimedyn
1712,epitherm
1713,82.5
1714,dip
1715,15.29
1716,teap
1717,49.7
1718,lightn
1719,sage
1720,cost-consci
1721,"12,691,000"
1722,35.43
1723,urban
1724,compo
1725,834
1726,899.1
1727,"91,381"
1728,euro-yen
1729,toohey
1730,2.80
1731,mrc
1732,gafta
1733,kleinert
1734,srce
1735,leapt
1736,anderson
1737,wise
1738,hartnel
1739,taka
1740,d-neb
1741,aileron
1742,bound
1743,church
1744,soc
1745,"2,100,000"
1746,"1,095.50"
1747,reimburs
1748,405.0
1749,188.0
1750,membership
1751,banken
1752,evgh.hk
1753,13.8
1754,sc
1755,uddevalla
1756,reynold
1757,zero-point
1758,9.24
1759,"998,764"
1760,"11,747,000"
1761,peak
1762,duan
1763,"257,157"
1764,nikolai
1765,42.72
1766,campaign
1767,skds.st
1768,goerdel
1769,91.15
1770,gunn
1771,distinct
1772,lwi
1773,two-for-f
1774,subordi
1775,mftg
1776,235.1
1777,debt-laden
1778,sun-yong
1779,blast
1780,sgic
1781,bbb-minu
1782,euromoney
1783,print
1784,43.80
1785,denver-bas
1786,wang
1787,dgn
1788,"172,000"
1789,ictor
1790,kacek
1791,49.09
1792,at-compat
1793,worcest
1794,formica
1795,re-nomin
1796,utx
1797,cda
1798,farmer
1799,n.h.
1800,cargo-handl
1801,eagleslair
1802,thad
1803,sarrazin
1804,0.99
1805,locat
1806,3.7495
1807,disagre
1808,ze
1809,thick
1810,"4,189,700"
1811,67.2
1812,6.28
1813,55.4
1814,"1,506,000"
1815,cameroun
1816,muramatsu
1817,iaco
1818,wol
1819,"926,924"
1820,1315
1821,169.49
1822,zhejiang
1823,need
1824,ara-gh
1825,"20,321"
1826,565
1827,shrink
1828,"8,100"
1829,"630,000"
1830,3.8050
1831,competitor
1832,318
1833,talent
1834,139.70
1835,jean
1836,1986-april
1837,0.756
1838,swissair
1839,mena
1840,featur
1841,"2,391,000"
1842,"230,000"
1843,72.3
1844,"9,920,000"
1845,sasl
1846,answer
1847,1.026
1848,28-3
1849,25.375
1850,a-rat
1851,gobtp
1852,rosemead
1853,"1,074,624"
1854,penc
1855,byou
1856,fuell
1857,720
1858,belkacem
1859,2
1860,inquiri
1861,cityquest
1862,euromarket
1863,persh
1864,5.61
1865,elser
1866,cut-throat
1867,loui
1868,96.78906
1869,cinemax
1870,"1,356,000"
1871,purol
1872,6-20
1873,dream
1874,"173,578"
1875,562.01
1876,"27,490,000"
1877,buyer
1878,window-dress
1879,79.8
1880,expens
1881,37.8
1882,"4,330,000"
1883,extraordinari
1884,7.2
1885,offeror
1886,"1,737"
1887,exposur
1888,gustloff
1889,10.09
1890,13.25
1891,centerr
1892,28.58
1893,stoke
1894,"15,478,000"
1895,whereabout
1896,200.60
1897,0955
1898,ronson
1899,scandal
1900,"2,158,709"
1901,hutchinson
1902,"914,000"
1903,non-met
1904,"4,169,000"
1905,"2,075,000"
1906,standwel
1907,harbour
1908,d-mark
1909,jerri
1910,"1,710"
1911,clearn
1912,spoil
1913,ventana
1914,96.90
1915,"357,420"
1916,hord
1917,midseason
1918,rayrock
1919,ineffici
1920,upi
1921,hmi
1922,"9,271,000"
1923,307
1924,39.2
1925,decreas
1926,jenni
1927,ceil
1928,high-perform
1929,lancast
1930,rehabilit
1931,"889,679"
1932,"39,357,197"
1933,datr
1934,ec-comecon
1935,greengrass
1936,questionmark
1937,brd
1938,katrin
1939,llx
1940,wesco
1941,baa
1942,alx
1943,widely-fluxtu
1944,149.80
1945,trydahl
1946,"19,000"
1947,pre-publ
1948,em
1949,bhami
1950,15.19
1951,3.01
1952,1900
1953,"168,100"
1954,hugo
1955,spiral
1956,dwarf
1957,keat
1958,marcano
1959,"842,000"
1960,j.d
1961,thp
1962,cce
1963,delamuraz
1964,counter-bid
1965,posttax
1966,mca
1967,savior
1968,gouinlock
1969,"75,000"
1970,acig
1971,state-held
1972,republican
1973,crossland
1974,"42,000"
1975,overhead
1976,omer
1977,autom
1978,rydin
1979,"4,129,240"
1980,indiana
1981,552
1982,rhode
1983,duquesn
